time_s,trial_id,marker_visible,grf_vertical_N,emg_tib_ant_uV,ankle_angle_deg,knee_flexion_deg,hip_flexion_deg
0.0,trial_03,1.0,194.99,9.78,5.0,5.0,20.0
0.01,trial_03,1.0,214.5,10.41,5.94,5.15,20.79
0.02,trial_03,1.0,235.38,13.05,6.88,5.61,21.57
0.03,trial_03,1.0,257.41,10.99,7.81,6.36,22.35
0.04,trial_03,1.0,280.25,9.29,8.73,7.39,23.13
0.05,trial_03,1.0,303.53,9.47,9.64,8.7,23.91
0.06,trial_03,1.0,326.81,13.01,10.52,10.27,24.68
0.07,trial_03,1.0,349.6,13.11,11.39,12.07,25.45
0.08,trial_03,1.0,371.39,15.53,12.23,14.1,26.22
0.09,trial_03,1.0,391.65,11.52,13.04,16.31,26.97
0.1,trial_03,1.0,409.86,13.07,13.82,18.68,27.73
0.11,trial_03,1.0,425.54,11.36,14.56,21.2,28.47
0.12,trial_03,1.0,438.25,16.15,15.27,23.81,29.2
0.13,trial_03,1.0,447.65,14.03,15.93,26.5,29.93
0.14,trial_03,1.0,453.46,8.4,16.56,29.24,30.64
0.15,trial_03,1.0,455.52,11.06,17.14,31.98,31.35
0.16,trial_03,1.0,453.8,15.67,17.66,34.71,32.04
0.17,trial_03,1.0,448.35,13.22,18.14,37.38,32.73
0.18,trial_03,1.0,439.38,12.82,18.57,39.98,33.4
0.19,trial_03,1.0,427.17,18.48,18.95,42.47,34.05
0.2,trial_03,1.0,412.11,11.32,19.27,44.84,34.69
0.21,trial_03,1.0,394.67,7.25,19.53,47.05,35.32
0.22,trial_03,1.0,375.38,11.57,19.73,49.08,35.94
0.23,trial_03,1.0,354.81,10.24,19.88,50.93,36.53
0.24,trial_03,1.0,333.53,10.77,19.97,52.57,37.11
0.25,trial_03,1.0,312.12,11.23,20.0,54.0,37.68
0.26,trial_03,1.0,291.14,13.8,19.97,55.21,38.22
0.27,trial_03,1.0,271.09,12.39,19.88,56.19,38.75
0.28,trial_03,1.0,252.44,11.46,19.73,56.95,39.26
0.29,trial_03,1.0,235.58,13.72,19.53,57.49,39.75
0.3,trial_03,1.0,220.85,9.61,19.27,57.82,40.23
0.31,trial_03,1.0,208.5,11.49,18.95,57.94,40.68
0.32,trial_03,1.0,198.72,10.84,18.57,57.87,41.11
0.33,trial_03,1.0,191.64,11.12,18.14,57.62,41.52
0.34,trial_03,1.0,187.3,13.95,17.66,57.21,41.91
0.35,trial_03,1.0,185.7,12.09,17.14,56.67,42.28
0.36,trial_03,1.0,186.78,11.8,16.56,56.01,42.62
0.37,trial_03,1.0,190.43,10.51,15.93,55.25,42.94
0.38,trial_03,1.0,196.48,9.99,15.27,54.43,43.24
0.39,trial_03,1.0,204.75,13.56,14.56,53.56,43.52
0.4,trial_03,1.0,214.99,167.87,13.82,52.66,43.78
0.41,trial_03,1.0,226.93,166.23,13.04,51.77,44.01
0.42,trial_03,1.0,240.28,164.13,12.23,50.9,44.21
