time_s,trial_id,marker_visible,grf_vertical_N,emg_tib_ant_uV,ankle_angle_deg,knee_flexion_deg,hip_flexion_deg
0.0,trial_04,1.0,592.82,12.55,5.0,5.0,20.0
0.01,trial_04,1.0,309.11,12.44,5.94,5.15,20.79
0.02,trial_04,1.0,238.51,10.48,6.88,5.61,21.57
0.03,trial_04,1.0,286.04,13.06,7.81,6.36,22.35
0.04,trial_04,1.0,315.41,16.15,8.73,7.39,23.13
0.05,trial_04,1.0,253.85,10.55,9.64,8.7,23.91
0.06,trial_04,1.0,209.24,10.85,10.52,10.27,24.68
0.07,trial_04,1.0,291.93,8.04,11.39,12.07,25.45
0.08,trial_04,1.0,391.44,12.67,12.23,14.1,26.22
0.09,trial_04,1.0,515.66,13.72,13.04,16.31,26.97
0.1,trial_04,1.0,504.72,12.42,13.82,18.68,27.73
0.11,trial_04,1.0,485.02,13.63,14.56,21.2,28.47
0.12,trial_04,1.0,421.05,15.17,15.27,23.81,29.2
0.13,trial_04,1.0,446.57,10.47,15.93,26.5,29.93
0.14,trial_04,1.0,661.6,15.49,16.56,29.24,30.64
0.15,trial_04,1.0,379.9,14.88,17.14,31.98,31.35
0.16,trial_04,1.0,388.46,9.34,17.66,34.71,32.04
0.17,trial_04,1.0,669.9,12.89,18.14,37.38,32.73
0.18,trial_04,1.0,492.38,9.03,18.57,39.98,33.4
0.19,trial_04,1.0,219.1,12.44,18.95,42.47,34.05
0.2,trial_04,1.0,394.27,14.11,19.27,44.84,34.69
0.21,trial_04,1.0,358.3,11.27,19.53,47.05,35.32
0.22,trial_04,1.0,382.34,9.8,19.73,49.08,35.94
0.23,trial_04,1.0,407.12,12.58,19.88,50.93,36.53
0.24,trial_04,1.0,327.59,13.63,19.97,52.57,37.11
0.25,trial_04,1.0,376.33,12.14,20.0,54.0,37.68
0.26,trial_04,1.0,219.88,12.85,19.97,55.21,38.22
0.27,trial_04,1.0,318.83,10.04,19.88,56.19,38.75
0.28,trial_04,1.0,125.84,15.94,19.73,56.95,39.26
0.29,trial_04,1.0,236.45,7.24,19.53,57.49,39.75
0.3,trial_04,1.0,397.45,11.25,19.27,57.82,40.23
0.31,trial_04,1.0,167.92,14.98,18.95,57.94,40.68
0.32,trial_04,1.0,326.79,10.19,18.57,57.87,41.11
0.33,trial_04,1.0,233.11,9.33,18.14,57.62,41.52
0.34,trial_04,1.0,471.1,6.58,17.66,57.21,41.91
0.35,trial_04,1.0,136.43,10.99,17.14,56.67,42.28
0.36,trial_04,1.0,187.62,10.89,16.56,56.01,42.62
0.37,trial_04,1.0,50.77,10.68,15.93,55.25,42.94
0.38,trial_04,1.0,279.23,11.94,15.27,54.43,43.24
0.39,trial_04,1.0,121.29,8.12,14.56,53.56,43.52
0.4,trial_04,1.0,292.44,167.87,13.82,52.66,43.78
0.41,trial_04,1.0,442.52,166.23,13.04,51.77,44.01
0.42,trial_04,1.0,267.67,164.13,12.23,50.9,44.21
0.43,trial_04,1.0,261.41,161.57,11.39,50.08,44.4
0.44,trial_04,1.0,387.63,158.58,10.52,49.32,44.56
0.45,trial_04,1.0,229.08,155.16,9.64,48.65,44.69
0.46,trial_04,1.0,184.75,151.32,8.73,48.07,44.8
0.47,trial_04,1.0,250.25,147.08,7.81,47.61,44.89
0.48,trial_04,1.0,278.29,142.46,6.88,47.27,44.95
0.49,trial_04,1.0,517.15,137.48,5.94,47.07,44.99
0.5,trial_04,1.0,409.1,132.15,5.0,47.0,45.0
0.51,trial_04,1.0,675.56,126.49,4.06,47.07,44.99
0.52,trial_04,1.0,257.36,120.53,3.12,47.27,44.95
0.53,trial_04,1.0,360.66,114.3,2.19,47.61,44.89
0.54,trial_04,1.0,450.3,107.81,1.27,48.07,44.8
0.55,trial_04,1.0,627.24,101.09,0.36,48.65,44.69
0.56,trial_04,1.0,242.69,94.17,-0.52,49.32,44.56
0.57,trial_04,1.0,544.01,87.08,-1.39,50.08,44.4
0.58,trial_04,1.0,302.08,79.84,-2.23,50.9,44.21
0.59,trial_04,1.0,327.36,72.49,-3.04,51.77,44.01
0.6,trial_04,1.0,264.17,65.04,-3.82,52.66,43.78
0.61,trial_04,1.0,339.39,57.53,-4.56,53.56,43.52
0.62,trial_04,1.0,347.45,50.0,-5.27,54.43,43.24
0.63,trial_04,1.0,346.93,50.0,-5.93,55.25,42.94
